dt_kst,open,close,low,high,acc_price,acc_vol,mid,eye_base,eye_trans,eye_fore1,eye_fore2,eye_fore_diff,mid_eye_fore1,mid_eye_fore2,mid_eye_fore,mid_eye_fore_pre,eye_trans_base,low_point,high_point,ma40,mid_ma40,ema112,mid_ema112,good
2018-01-11 02:30:00,21662000.0,21988000.0,21470000.0,22063000.0,8507705585.02,389.35015995,21766500.0,22356000.0,21419500.0,23636500.0,24190000.0,-0.023417172593235037,-0.0859118369972205,-0.11134082190522132,under,under,under,True,False,22501725.0,under,23809732.14285714,under,False
2018-01-11 03:00:00,21950000.0,22139000.0,21927000.0,22263000.0,8726773040.65,394.07181824,22095000.0,22054500.0,21481500.0,23628750.0,24069500.0,-0.01865312384277628,-0.06941615750169722,-0.08936410952704232,under,under,under,False,True,22448875.0,under,23781750.0,under,False
2018-01-11 03:30:00,22139000.0,22000000.0,21862000.0,22189000.0,5202028643.64,236.01801413,22025500.0,21981000.0,21579000.0,23609250.0,24004000.0,-0.016720141469974692,-0.07190529159383442,-0.08982769971169781,under,under,under,False,False,22391925.0,under,23752732.14285714,under,False
2018-01-11 04:00:00,22000000.0,21672000.0,21630000.0,22034000.0,4422865839.24,202.45049448,21832000.0,21854500.0,21632500.0,23192250.0,23612500.0,-0.018120277247787517,-0.06230533162330524,-0.0815545987541224,under,under,under,False,False,22331300.0,under,23719348.214285713,under,False
2018-01-11 04:30:00,21673000.0,21539000.0,21359000.0,21721000.0,3927140941.49,182.11100878,21540000.0,21696000.0,21811000.0,22439250.0,22740500.0,-0.013425136758135855,-0.04174791086350975,-0.05573351903435469,under,under,over,False,False,22269375.0,under,23681750.0,under,False
2018-01-11 05:00:00,21539000.0,21370000.0,21316000.0,21546000.0,2894992314.52,135.17574937,21431000.0,21696000.0,21789500.0,22387750.0,22631000.0,-0.010865316970218088,-0.04464327376230694,-0.05599365405254071,under,under,over,True,False,22227850.0,under,23645160.714285713,under,False
2018-01-11 05:30:00,21370000.0,21730000.0,21370000.0,21800000.0,3243193457.95,150.2568559,21585000.0,21790000.0,21789500.0,22387750.0,22541000.0,-0.006845261359448806,-0.03719017836460505,-0.0442900162149641,under,under,under,False,False,22188600.0,under,23611053.57142857,under,False
2018-01-11 06:00:00,21730000.0,21818000.0,21689000.0,21850000.0,3468848493.0,159.22157577,21769500.0,21790000.0,21789500.0,22387750.0,22541000.0,-0.006845261359448806,-0.028399825443854936,-0.035439491031029655,under,under,under,False,False,22153425.0,under,23582553.57142857,under,False
2018-01-11 06:30:00,21817000.0,21771000.0,21660000.0,22100000.0,7519193561.72,343.93682169,21880000.0,21790000.0,21789500.0,22387750.0,22541000.0,-0.006845261359448806,-0.023206124314442415,-0.030210237659963435,under,under,under,False,True,22119275.0,under,23552223.214285713,under,False
2018-01-11 07:00:00,21771000.0,21450000.0,21400000.0,21818000.0,12306792384.4,570.8065145,21609000.0,21790000.0,21789500.0,22237000.0,22470000.0,-0.010478032108647749,-0.02906196492202323,-0.03984450923226433,under,under,under,False,False,22074350.0,under,23519678.57142857,under,False
2018-01-11 07:30:00,21450000.0,21203000.0,21080000.0,21508000.0,12610028348.9,591.3094881,21294000.0,21667500.0,21634500.0,22200250.0,22448000.0,-0.011159784236664002,-0.04255893678970602,-0.05419366957828496,under,under,under,False,False,22023400.0,under,23492919.64285714,under,False
2018-01-11 08:00:00,21201000.0,20558000.0,20556000.0,21444000.0,20808138343.9,995.01289077,21000000.0,21595500.0,21328000.0,22137000.0,22448000.0,-0.01404887744500158,-0.054142857142857145,-0.06895238095238095,under,under,under,False,False,21952050.0,under,23459767.85714286,under,False
2018-01-11 08:30:00,20557000.0,21317000.0,19689000.0,21321000.0,45890061642.0,2250.85299171,20505000.0,21162000.0,20894500.0,22057750.0,22448000.0,-0.017692194353458535,-0.07572543282126311,-0.0947573762496952,under,under,under,True,False,21896225.0,under,23431330.35714286,under,False
2018-01-11 09:00:00,21300000.0,20607000.0,20001000.0,21699000.0,44566666460.7,2147.76745887,20850000.0,21162000.0,20894500.0,22057750.0,22448000.0,-0.017692194353458535,-0.057925659472422064,-0.07664268585131895,under,under,under,False,True,21819900.0,under,23394116.07142857,under,False
2018-01-11 09:30:00,20607000.0,21039000.0,20278000.0,21349000.0,23695207980.0,1140.56204634,20813500.0,21084500.0,20894500.0,22123250.0,22448000.0,-0.014679127162600432,-0.06292790736781416,-0.07853076128474308,under,under,under,False,False,21744725.0,under,23361598.214285713,under,False
